key	value
町	255
生活	190
今	119
避難	106
家	105
国	99
帰還	94
ふるさと	93
復興	81
原発	78
将来	73
浪江町	69
除染	64
住宅	62
子ども	62
事故	59
東京電力	59
現在	58
土地	57
住民	56
場所	51
不安	45
賠償	42
自分	40
施設	37
双葉町	37
時間	36
富岡町	35
今後	34
希望	33
必要	33
家族	33
地域	32
補償	32
状態	32
困難	31
区域	30
自宅	30
町民	29
大熊町	29
近く	28
みんな	28
仮設	28
どこ	26
いつ	26
居住	26
姿	26
大変	25
震災	25
地区	25
アンケート	25
すべて	24
心配	24
仕事	24
自治体	23
双葉郡	23
安心	23
気持ち	22
対応	22
福島	22
線量	21
中間	21
高齢者	21
仮設住宅	21
貯蔵	20
インフラ	20
心	20
残念	20
環境	20
いわき市	20
帰宅	19
個人	19
若い人	19
母	19
住居	18
状況	18
人生	18
金	18
息子	18
制度	17
購入	17
毎日	17
夫婦	17
行政	17
暮らし	17
廃炉	17
無理	17
災害	16
タウン	16
孫	16
お願い	16
元気	16
移住	16
整備	16
思い	16
一緒	16
現状	15
セカンド	15
いつまでも	15
建設	15
老人	15
早急	14
年齢	14
意見	14
入居	14
判断	14
早期	13
日本	13
学校	13
主人	13
先祖	13
病院	13
賠償金	13
可能	13
理解	13
問題	13
再開	12
仮	12
決断	12
公営住宅	12
収束	12
十分	12
安全	12
ストレス	12
皆さん	12
計画	11
放射能	11
要望	11
現実	11
解除	11
コミュニティ	11
たくさん	11
構想	11
会社	11
夢	10
夫	10
住民票	10
全体	10
自立	10
反対	10
無駄	10
関係	10
行動	10
復旧	10
お金	10
最終処分場	10
確保	10
福島県	10
若者	10
