translate0	translate1	rotate	id	size	rgb	opacity	text
199	-91	30	町0	180	255	1	町
-33	-53	-90	生活1	151	255	1	生活
-190	98	-30	今2	114	255	1	今
-346	-2	30	避難3	106	255	1	避難
-4	61	60	家4	105	255	1	家
121	59	30	国5	101	255	1	国
231	59	60	帰還6	98	255	1	帰還
-353	109	-30	復興7	89	255	1	復興
-247	-114	60	原発8	87	253	1	原発
-432	-25	-90	将来9	83	249	1	将来
-428	-112	0	浪江町10	80	246	1	浪江町
137	-59	30	除染11	76	241	1	除染
26	-61	60	住宅12	75	240	1	住宅
353	-11	30	子ども13	75	240	1	子ども
347	-145	60	事故14	72	237	1	事故
463	-37	30	現在15	71	236	1	現在
482	-147	0	住民16	70	234	1	住民
225	119	-90	土地17	70	235	1	土地
105	-170	-30	場所18	65	230	1	場所
108	128	-60	不安19	59	225	1	不安
346	49	30	賠償20	57	222	1	賠償
488	63	-30	自分21	54	221	1	自分
-119	-204	0	双葉町22	51	218	1	双葉町
3	143	-90	施設23	51	218	1	施設
-106	136	30	時間24	50	217	1	時間
386	151	-90	富岡町25	49	216	1	富岡町
-157	-18	-30	今後26	48	215	1	今後
452	139	30	必要27	47	215	1	必要
-283	-197	-30	家族28	47	215	1	家族
-384	-185	0	希望29	47	215	1	希望
3	-207	0	地域30	46	214	1	地域
-138	176	30	補償31	46	214	1	補償
-219	150	0	状態32	46	214	1	状態
504	-208	0	困難33	45	213	1	困難
-309	159	0	区域34	44	212	1	区域
527	-102	0	自宅35	44	212	1	自宅
-292	-95	60	町民36	42	211	1	町民
158	156	-90	大熊町37	42	211	1	大熊町
-519	-56	-60	近く38	41	210	1	近く
-509	103	60	仮設39	41	210	1	仮設
-82	-25	60	いつ40	39	209	1	いつ
-2	-36	30	居住41	39	209	1	居住
-396	19	-90	どこ42	39	209	1	どこ
-14	-156	60	姿43	39	209	1	姿
54	116	-60	地区44	37	208	1	地区
-388	177	-30	震災45	37	208	1	震災
-549	-112	-90	大変46	37	208	1	大変
-485	-183	0	すべて47	36	207	1	すべて
302	170	60	仕事48	36	207	1	仕事
-535	131	60	心配49	36	207	1	心配
456	181	30	双葉郡50	35	206	1	双葉郡
-516	11	-60	安心51	35	206	1	安心
-197	198	-30	対応52	33	205	1	対応
257	169	-90	気持ち53	33	205	1	気持ち
252	-102	-60	福島54	33	205	1	福島
-472	-214	0	線量55	32	204	1	線量
427	-210	-60	中間56	32	204	1	中間
547	131	-90	インフラ57	30	203	1	インフラ
-211	14	0	心58	30	203	1	心
-184	-160	60	貯蔵59	30	203	1	貯蔵
33	187	30	環境60	30	203	1	環境
-21	220	0	いわき市61	30	203	1	いわき市
304	-206	-60	残念62	30	203	1	残念
-318	197	30	帰宅63	29	202	1	帰宅
-533	-212	0	個人64	29	202	1	個人
-449	174	-90	若い人65	29	202	1	若い人
-267	97	-60	母66	29	202	1	母
551	86	60	住居67	28	202	1	住居
-47	69	-90	状況68	28	202	1	状況
322	-119	0	人生69	28	202	1	人生
-248	-60	60	金70	28	202	1	金
-143	217	0	息子71	28	202	1	息子
-273	195	60	制度72	26	201	1	制度
413	188	30	購入73	26	201	1	購入
310	-32	-60	夫婦74	26	201	1	夫婦
91	193	60	行政75	26	201	1	行政
-367	216	0	暮らし76	26	201	1	暮らし
-536	184	60	廃炉77	26	201	1	廃炉
-549	77	-60	無理78	26	201	1	無理
548	-53	30	毎日79	26	201	1	毎日
133	-30	30	タウン80	24	200	1	タウン
359	-77	-60	整備81	24	200	1	整備
474	10	-90	元気82	24	200	1	元気
197	207	-30	移住83	24	200	1	移住
288	203	30	災害84	24	200	1	災害
1	1	-30	思い85	24	200	1	思い
-150	92	-60	一緒86	24	200	1	一緒
83	12	30	孫87	24	200	1	孫
461	-121	0	現状88	23	199	1	現状
-484	206	-90	建設89	23	199	1	建設
148	-161	-60	老人90	23	199	1	老人
-149	14	0	早急91	21	198	1	早急
383	-5	60	年齢92	21	198	1	年齢
89	-124	-60	意見93	21	198	1	意見
-66	-56	60	入居94	21	198	1	入居
568	147	0	判断95	21	198	1	判断
-359	23	-30	早期96	19	197	1	早期
166	-224	30	日本97	19	197	1	日本
-109	-39	60	学校98	19	197	1	学校
421	78	60	主人99	19	197	1	主人
556	3	0	先祖100	19	197	1	先祖
556	-228	30	病院101	19	197	1	病院
-546	213	30	賠償金102	19	197	1	賠償金
-305	113	30	可能103	19	197	1	可能
537	216	30	理解104	19	197	1	理解
-566	-7	60	問題105	19	197	1	問題
225	111	60	再開106	17	196	1	再開
-21	-91	0	決断107	17	196	1	決断
444	227	0	公営住宅108	17	196	1	公営住宅
-90	51	-90	収束109	17	196	1	収束
-40	161	-90	十分110	17	196	1	十分
-208	103	0	安全111	17	196	1	安全
562	-148	60	皆さん112	17	196	1	皆さん
238	55	30	仮113	17	196	1	仮
-236	172	-30	計画114	16	196	1	計画
64	218	0	放射能115	16	196	1	放射能
74	-219	-30	要望116	16	196	1	要望
-95	-1	-90	現実117	16	196	1	現実
-45	-141	-90	解除118	16	196	1	解除
-70	191	30	構想119	16	196	1	構想
0	-124	-30	会社120	16	196	1	会社
397	-75	-60	関係121	14	195	1	関係
-20	77	0	夢122	14	195	1	夢
-566	129	30	住民票123	14	195	1	住民票
-158	-115	60	全体124	14	195	1	全体
-211	-25	-60	自立125	14	195	1	自立
-118	-82	-60	反対126	14	195	1	反対
348	65	-90	無駄127	14	195	1	無駄
12	86	-60	夫128	14	195	1	夫
170	131	30	行動129	14	195	1	行動
-226	-121	-60	復旧130	14	195	1	復旧
