often	keyword	no	sex	age	occupation	town	area	stay	expression	count
255	町	848	女性	60	8	大熊町	2	県内	できれば元の町の姿に戻してほしい。	17
190	生活	577	女性	60	8	浪江町	4	県内	借り上げも平成２８年３月まで延びました。浪江町に戻りたいと思いますが、今を見ているとだめかとも思います。生活が安定していないので、とても心身ともに不安定で、薬を飲んでいます。震災前は、薬など飲まず、とても元気だったのに悔しいです。１日も早く落ち着いた生活がしたいと、切に願っています。	142
119	今	919	女性	70	10	富岡町	4	県内	ごめんなさい。チャランポランの返事しか書けなくて、考えることが面倒で、今を生きるに一生懸命です。	48
106	避難	641		60		大熊町		県外	避難生活も長期間になり、一時帰宅するたびに見るわがふるさと、および、自宅を見るのは本当に辛く悲しいです。将来のわがふるさとはどうなるのか。	69
105	家	1009							早く双葉町の一戸建ての家が欲しいです。少しでも土を踏んで畑をやりたいです。	37
99	国	193	男性	60	4	富岡町	1	県内	国は選挙のときだけ来て、あとは知らんぷり。東京電力は僕たちには何もしてくれない。いつも国と電力との話し合いばかり。	57
94	帰還	1092	男性	60	10	浪江町	2	県内	自分たちの代では帰還できなくても、子や孫の代になり出入りできるよう手入れはしていてほしい。一時帰宅するたびに家や土地が荒れていく姿を見るのがつらい。	74
93	ふるさと	628	男性	60	1	富岡町	4	県内	たった一言、「１日でも早く、ふるさとに帰りたい」	24
81	復興	527	男性	60	10	浪江町	2	県内	帰還が難しい地域について、元の町で帰還可能な所にセカンドタウンを作ることが望ましい。人が戻らない復興はありえない。人が戻る環境を早く整えることが何より大事である。	81
78	原発	62	女性	40	3	双葉町	4	県外	事故を起こした当の原発をはじめ、国•行政が頼りにならないのが情けない。	35
73	将来	229	男性	60	6	大熊町	2	県外	悲しいが、近い将来、“放念”せざるをえないと考えています。	29
69	浪江町	46	女性	70	10	浪江町	4	県外	高齢者なので浪江町で死にたい。	15
64	除染	888	女性		7	浪江町	2	県内	山林まできれいに除染してください。誰でも町に出入りできるように。何年かかってもきれいな町に戻してほしい。	52
62	住宅	184	女性	50	3	浪江町	3	県内	新しい家を建てるなり、賃貸住宅なり、自分の住みたい地域に入居したい。	34
62	子ども	1141	男性	40	4	富岡町	3	県内	自治体の存続は次の世代が存在するかどうかであろう。ふるさと富岡町に愛着がある世代はなんとかなるかもしれないが、小さな子どもの世代はどうであろうか？　彼らに富岡町を背負わせることが正しいことであろうか？　その小さな幼い世代がどれほどの「ふるさと」への思いを強制的に植え付けることが正しいことであろうか？　われわれの思いと彼らの思いは異なるものであろう。	175
59	事故	717	男性	60	10	大熊町	2	県内	原発事故が風化されないようにマスコミなどで毎日でも放送してもらいたい。仮設の狭い部屋にいるのはもういや、４年になる。	58
59	東京電力	321	男性	60	4	双葉町		県内	東京電力への賠償も進んでいないし、大変な心労のなか、中間貯蔵施設へのことばかりで、今後、立ち入りもできなくなることで、ストレスが増し、体調を崩し、考える力が抜けました。	84
58	現在	873	女性	60	10	浪江町	3	県内	現在は１日１日が精一杯で将来のことなど考えられません。	27
57	土地	1171	男性	30	4	富岡町	3	県外	住居は不安です。事故前は土地も建物も家族の物で、ずっとそこに住んできたので、これからも一生住んでいくと思っていた。このままだと、老後、年金（もらえるかどうも分からない）で家賃を払っていかないとダメなのかと思うと非常に不安です。	113
56	住民	185	男性	50	10	浪江町	3	県内	本音は元の町に戻りたいですし、前の地域住民や自治体と一緒に生活していきたいです。浪江町が好きです。浪江町民が好きです。	59
51	場所	1033	男性	70	1	富岡町	2	県内	戻れたら元の場所に新築をして住みたい（希望）	22
45	不安	488	女性	40	5	浪江町	3	県内	将来について考えることができません。不安ということばしかありません。ただ、震災前に戻れたらと、無理なのに思ってしまいます。	61
42	賠償	846	女性	40	10	浪江町	4	県内	避難者の賠償が町によって大きな差がある。原発事故ですべてを失った。同じ状況で避難生活をしなくてはならなくなったのだから、同じ補償でなければならないはず。みずから命を絶ったり、病気になったり、惨めな生活を送ることになったり、生活が一変してしまった。今後の東電、政府の対応を責任を持って私たち住民個々の生活を理解してしっかりしてもらいたい。避難者以外の方々にも理解して受け入れてもらいたい。	193
40	自分	172		60	10	浪江町		県内	すでに住居を（終の棲家として）決めた人もいるなかで、いまだに決められずにいる自分に、あせりと疲れが半端じゃない。医療機関へのつながりもできてしまい、安住の地を決められない。	86
37	施設	742	男性	70	10	大熊町	2	県内	移住を決めた人たちに安心して住めるような支援をしてほしい。最後は大熊の人たちが安心して終えられるような施設を建ててほしい。	61
37	双葉町	37	男性	70	2	双葉町	1		双葉町へは帰りたくても帰れないので、何とも言えない。今、居住している所で、精一杯、頑張るしかない。	49
36	時間	789		70	4	大熊町	2	県内	われわれ老人には時間残りありません。町の復興、私たちは見ることができません。あと３，４年長生きして見れれば、一目、大熊町の復興の姿をと心の中では思っております。今後は子ども、孫たちに託したいと思っております。	104
35	富岡町	349				富岡町			私も年にして、富岡町に帰れるものなら、富岡町に帰りたいです。よろしくお願いします。	41
34	今後	228	女性	60	10	双葉町	1	県外	一時帰宅すると、今後、どうなるのか不安です。高齢者にとって、１日、１日が長く感じます。	43
33	希望	365	女性	60	10	浪江町	4	県内	なんの希望もない。	9
33	必要	830	男性	60	2	浪江町	1	県外	いろいろなこれからの身の振り方があると思いますが、いずれにせよ、最後は十分な補償が必要と思います。	49
33	家族	942		70	10	富岡町	3	県外	私たち家族は戻ることは考えていない。以前の町になることは不可能と思います。住める町には戻れないと思う。	51
32	地域	109	男性	70	6	富岡町	4	県外	絶対、放射線の影響のない所へ集団移転を望みます。１か所に集まってというのは無理のことでしょうから、同じ区内に３か所くらいに分散され、地域の人たちとも交流し、コミュニケーションがとれることが大事なことと思います。そこの市町村民となることです。	120
32	補償	1124	女性	60	10	富岡町	3	県内	１人暮らしのため、補償も少なく住宅の算定も少額のため、家を購入すべきかどうか迷っています。１歳の子供と６５歳以上の補償が同額にも不満です。世帯主と扶養者とは多少額を見直してほしいです。諸費用は１人も２人もあまり変わらない。（ガス。電気料ｅｔｃ）	122
32	状態	450	男性	70	10	浪江町	3	県内	震災前の状態に早期に戻すこと。	15
31	困難	691	女性	60	10	浪江町	4	県内	自宅が避難の長期化でだんだん老化していくのが、悔しい。往復４時間かけての住宅メンテナンスは１人暮らしでは困難。将来を考えると暗くなるので考えないようしているが…。	81
30	区域	2	男性	60	10	浪江町	2	県内	現在はふるさとに戻らないと決めているが、町の具体像やインフラ整備が整えば戻りたいと思う。やはり、ふるさとはよい。今は帰宅困難な区域であるが、早期にいつ帰れるか決めてほしい。それによって考えも変わってくると思う。	105
30	自宅	823	女性	70	シルバー人材	双葉町	4	県内	早急に自宅復興をお願いします。私たち年老いていくので。	27
29	町民	856		60	1	大熊町			「フルーツ香るロマンの里」を取り戻すため、町民、行政一丸となって取り組むことに方向に期待する。私たちも頑張ります。	57
29	大熊町	627	男性	70	1	大熊町	2	県内	将来、大熊町は町として姿を残すことはできないと思う。なぜならば、県内外に土地を、家を求めている人が大変多くなってきている。１０～１５年で帰れるとしても、戻る人は少ないと思う。町として成り立たない。そうしたら、双葉郡で合併して新しい町名で出発するようになると思う。そうしたら、ふるさとはどこにいった？？になってしまうと思います。	163
28	近く	692	女性	40	10	浪江町	4	県内	近くにできる復興住宅に入れればと思います。何年先になるか不安です。家族は遠く離れています。町の方々と一緒に近く住めればいいのかなと思います。	70
28	みんな	445	女性	60	1	浪江町	3	県内	線量が下がり、みんなが楽しく暮らせる町ができればよい。	27
28	仮設	276	女性	70	10	富岡町	3	県内	将来の夢、希望を失った今では、何も考える気になれず、残念でしかたありません。今の年まで一生懸命働いてきて、財産もすっかり捨ててしまい、現在の仮設住宅で過ごしていることが悔しくてしかたありません。悠々自適な生活は終わってしまいました。あと何年生きられるか、私なりに頑張ります。	137
26	どこ	199	女性	40	2	浪江町	2	県外	どこでもドアがほしい。立ち入りの際を考えたシェルターを作るべき。	32
26	いつ	428	男性	50	10	富岡町	2	県内	町として、いつまでに帰れるのか？　きちんと答えを出してほしい！！　東京電力の賠償にしても、今の賠償金の額では、いわき市のほうに土地を買えない。（土地の値段が高い）	81
26	居住	1	女性	60	3	浪江町		県内	居住も心配であるが、健康も心配である。	19
26	姿	895	女性	70	10	富岡町	3	県内	早急に双葉郡の姿をはっきりさせてもらいたい	21
