often	keyword	no	sex	age	occupation	town	area	stay	expression	count
85	生活	1066	女性	50	3	双葉町	2	県内	将来は<span class="selected">生活</span>できる場ではなくなっているだろうが、せめてお墓参りだけは自由に行けるようになっていてほしい。	51
84	町	1046	女性	70	2	浪江町	4	県内	<span class="selected">町</span>の具体的な方針が示されないかぎり、<span class="selected">町</span>民は悩みます。	26
62	家	1210	女性	60	8		2	県内	原発事故は日本初めてのこと。法律とか今までにない、できないとかでなく、今までの生活に少しでも近づけていくべきである。経済優先の国、原発再稼働に向かっている国、最終処分場も決まっていないなかでの再稼働などありえない！　住む所、場所、<span class="selected">家</span>もなく４年目の冬を迎えている。会津の雪の多さに驚いて災害公営住宅に入るのか、老人ホームに入るのか、避難民でいるのか、このまま死んでいくのかと思うとみじめである。災害公営住宅も入居者の意に沿ってない、一戸建てに住みたいのに集合住宅ばかり、場所もよくない、そこに復興予算を使ってほしい。	257
59	今	1198	女性	60	10	浪江町		県内	１日も早く家に帰りたい。<span class="selected">今</span>、作った家はどうするか、いろいろ考えるとつらい。年齢で仕事に就けなくて生活が大変です。	56
43	子ども	1158	女性	60	看護職	双葉町	2	県内	全国に散らばって住んでいる住民が多く、まとめるのは難しい。実際にいわき市へ学校ができても児童数は１４名しかいない。学校を作るのが遅かったと思う。<span class="selected">子ども</span>たちは簡単に転校はできなくなっている。住んでる学校に慣れてしまっているからです。今、住んでる所へ早く住民票を移したいと思っている方が多いと思う。なぜなら、今、住んでる地域に馴染みたいから。それしか方法がないと思う。今、住んでる近所の住民の方たちと仲良くしていかなければならないと強く思うからです。	223
39	避難	1195	女性	70	10	双葉町	4	県内	どんなことでも早く実現しなければ、それぞれの<span class="selected">避難</span>先に定着してしまうと思うし、私たち年寄りは老人ホームのほうを望んでいます。	61
35	国	1168	女性	60	10	富岡町	3	県内	現在の私の町に帰ることはできないと思っています。あのとき住んでいた町は大好きな町であっても、今は違います。自分の中では生まれた所、住んでいた所に似たような居住になるような所を探しています。最初は私も復興住宅に入居のつもりでしたが、私のような１人では、お金も続きませんのでやめました。家賃も少しはしかたがないとしても１人者は続きません。どこかおかしいです。<span class="selected">国</span>も県も町も。	184
33	将来	624	女性	60	10	浪江町	4	県内	汚染の度合いで<span class="selected">将来</span>の色分けになる。浪江町は東の海岸よりだけ残される。高速道路は危ない場所だ。	46
33	浪江町	1113	女性	30	7	大熊町	1	県内	原発事故後、実家のある南会津町に避難しました。主人は<span class="selected">浪江町</span>出身。大熊町にアパートを借りて娘と３人で暮らしていました。原発事故直後は主人の両親も私の実家に避難してきていました。実家には私の父母が暮らしており、私と娘、主人の両親と大勢でした。４月１日、私の実父が自殺しました。理由は分かりません。みんながみんな自分のせいではないかと苦しんでいます。実母は情緒不安定になりました。主人の会社は埼玉県に新工場を作って主人は埼玉に、主人の両親は福島市の仮設住宅に移りました。母が心配で私は娘と実家に残りました。。そのうち、主人がパニック障害と診断され、それでも主人のほうに目がいかなかった。私は離婚を切り出され、昨年、離婚しました。原発事故のことを考えるのすら嫌になります。前を向かなければ、たくさんの支援をくださっているみなさんにも申し訳ないと思います。娘が将来どうなるのか不安です。まだ、将来のことまで頭が回りません。	406
31	住宅	1214	女性	30	8	浪江町	3	県内	復興<span class="selected">住宅</span>で家賃を取るのはおかしいと思う。	20
