key	value
町	146
生活	93
帰還	71
避難	63
国	61
ふるさと	60
今	48
原発	48
除染	48
復興	48
将来	38
現在	38
事故	37
家	36
浪江町	34
東京電力	32
住民	31
住宅	29
賠償	28
施設	26
土地	26
地域	24
場所	23
双葉町	23
必要	22
今後	22
町民	21
居住	21
自分	20
自治体	19
すべて	19
双葉郡	19
希望	18
状態	18
不安	18
富岡町	18
地区	17
子ども	17
近く	16
補償	16
困難	16
いつ	16
環境	16
状況	15
時間	15
対応	15
貯蔵	14
個人	14
中間	14
インフラ	14
震災	14
アンケート	14
家族	14
大熊町	14
線量	13
自宅	13
区域	12
金	12
帰宅	12
福島	12
廃炉	12
整備	12
住居	11
人生	11
早急	11
先祖	11
建設	11
心配	11
高齢者	11
大変	11
行政	11
判断	11
現状	10
仮設	10
再開	10
タウン	10
早期	10
決断	10
計画	10
お願い	10
可能	10
収束	10
仮設住宅	10
移住	10
問題	10
一緒	10
姿	10
